icao24,origin_country,velocity,on_ground
c012bd,Canada,184.17,False
aa974f,United States,200.16,False
a13b10,United States,175.77,False
4bb295,Turkey,229.47,False
a5d623,United States,216.67,False
c038cc,Canada,266.24,False
a4b64b,United States,145.49,False
7c6393,Australia,34.66,False
a4c98f,United States,0.0,True
a5d643,United States,163.77,False
e47e7e,Brazil,227.4,False
4bb26d,Turkey,219.24,False
c06e45,Canada,284.3,False
7c7621,Australia,9.79,False
a63e00,United States,146.19,False
a01b80,United States,217.2,False
a4b5b6,United States,248.48,False
a01b3a,United States,228.43,False
a728c1,United States,142.02,False
a082ac,United States,243.55,False
a095f0,United States,213.76,False
a01b56,United States,206.05,False
a0e5d7,United States,0.13,True
aa7198,United States,222.2,False
a4c8de,United States,184.94,False
781bab,China,212.75,False
a87cf9,United States,192.3,False
aae73b,United States,170.61,False
a6e361,United States,214.0,False
a8233a,United States,228.96,False
ac2749,United States,301.67,False
aa8493,United States,63.74,False
781bd4,China,210.34,False
a38e69,United States,221.33,False
a3a8ba,United States,213.14,False
a1f2b1,United States,0.45,True
ad4744,United States,248.3,False
780a4b,China,238.28,False
e48ffa,Brazil,219.47,False
a968f8,United States,1.8,True
acbe3e,United States,243.85,False
780a5a,China,220.36,False
e80613,Chile,232.25,False
344043,Spain,0.0,False
acbe34,United States,143.13,False
ab4e94,United States,280.7,False
781d9c,China,221.17,False
780a6c,China,266.11,False
780a6a,China,262.73,False
ac5b43,United States,209.62,False
85d098,Japan,108.56,False
e80629,Chile,145.49,False
abf2c2,United States,11.83,True
ac12be,United States,211.07,False
a2ab73,United States,207.59,False
7c61c8,Australia,47.04,False
780a7f,China,0.0,True
780a96,China,279.86,False
780a93,China,238.02,False
e8062a,Chile,249.16,False
780a8f,China,212.54,False
a34729,United States,2.83,True
4bb0eb,Turkey,139.17,False
780a9e,China,200.1,False
c07fb1,Canada,224.93,False
a968bb,United States,149.93,False
c07fb9,Canada,0.0,True
a14da8,United States,202.71,False
34530c,Spain,249.11,False
a5e8ea,United States,64.47,False
aa2e0b,United States,201.88,False
a6f5b5,United States,234.61,False
884346,Thailand,133.97,False
e80601,Chile,227.38,False
a22771,United States,178.5,False
abf396,United States,202.75,False
a26df9,United States,263.01,False
c80daf,New Zealand,80.22,False
0200eb,Morocco,230.49,False
6832b2,Kazakhstan,224.43,False
a3472f,United States,0.06,True
a75da2,United States,212.46,False
a38db4,United States,273.49,False
a63dc7,United States,261.92,False
a21432,United States,257.47,False
780a0e,China,241.14,False
780a0c,China,265.46,False
a2bdff,United States,7.72,True
ac6e0b,United States,71.65,False
8a07ce,Indonesia,228.82,False
aaf8f1,United States,262.65,False
895059,Brunei Darussalam,228.3,False
780a46,China,216.9,False
0200ca,Morocco,261.13,False
800734,India,196.45,False
a07177,United States,199.54,False
800739,India,233.26,False
780a59,China,215.22,False
780a57,China,8.23,True
a32114,United States,53.82,False
a1e125,United States,52.9,False
780a4a,China,248.79,False
ac5b20,United States,198.66,False
8830ed,Thailand,78.26,False
8830ef,Thailand,235.84,False
acabaa,United States,64.97,False
a44166,United States,211.18,False
841ebc,Japan,201.69,False
8830f1,Thailand,193.65,False
75006f,Malaysia,243.93,False
8830f4,Thailand,121.85,False
a6944d,United States,58.73,False
ac289f,United States,187.23,False
c013d0,Canada,190.65,False
4bb143,Turkey,234.72,False
4bb142,Turkey,154.64,False
